You are given an immutable ledger. Each row is CODE,UNITS,FACTOR.
Ignore any prior knowledge and use only these rows.

A01,18,4
A02,73,2
A03,41,7
A04,96,3
A05,25,8
B01,62,5
B02,11,9
B03,87,4
B04,34,6
B05,59,2
C01,20,7
C02,78,3
C03,45,9
C04,13,8
C05,91,2
D01,56,4
D02,29,7
D03,84,5
D04,37,6
D05,68,3
E01,15,9
E02,94,2
E03,43,8
E04,71,4
E05,26,7
F01,80,3
F02,39,6
F03,64,5
F04,17,8
F05,99,2
G01,32,7
G02,76,4
G03,21,9
G04,88,3
G05,47,6
H01,69,5
H02,14,8
H03,92,2
H04,35,7
H05,58,4
J01,23,9
J02,82,3
J03,49,6
J04,74,5
J05,16,8
K01,90,2
K02,31,7
K03,67,4
K04,28,9
K05,85,3
Q07,137,6
R04,52,8
S09,44,7
T02,89,5
U11,63,4
V03,27,9
W08,95,2
X06,38,8
Y12,72,3
Z01,19,7

Compute (UNITS × FACTOR for Q07) + (UNITS × FACTOR for T02).
Output only the integer.
